TOA,TOB,FROMA,FROMB,DESCRIPTION
Miller Hall,Red Square Entrance,Parking Lot 10G,N/A,"If you are approaching Miller Hall from the north section of lot 10G, align yourself so that when you switch from the asphalt of the parking lot to brick, Fraser Hall is on your right and Miller Hall is on your left. Keep straight, aligning yourself with the front steps of Miller Hall past the accessible ramp. The push button for automatic door for automatic door is hip level on your left along with the doors."
Parking lot 10G,N/A,Miller Hall,Red Square Entrance,"If you are leaving from the lower entrance of Miller Hall and facing Red Square, take an immediate right. Miller Hall is on your right and Red Square is on your left. Align yourself with the ledge of the ramp and stairs on your right until they end. Fraser hall will now be on your left as the brick surface changes to the asphalt of Parking Lot 10G."
Miller Hall,South Corner Entrance,Parking lot 10G,N/A,"If you are approaching Miller Hall from the south section of lot 10G, align yourself so that the Art Annex is on your left and Miller Hall is on your right. Keep right for 5 feet and the push button for automatic door for automatic door is directly hip level on your left and the doors are directly on you."
Parking lot 10G,N/A,Miller Hall,South Corner Entrance,"If you are leaving from the south corner entrance of Miller Hall, take an immediate left until the brick surface changes to the asphalt of the south end of Parking Lot 10G."
Miller Hall ,Back Entrance,Parking lot 10G,N/A,"If you are approaching Miller Hall from the south section of lot 10G, Miller Hall on your left and the Sehome Arboretum is on your right. Keep left and align yourself where the grass meets the pavement. On the second left, turn 90 degrees up the ramp. The push button for automatic door for automatic door will be hip level on your right.
"
Parking lot 10G,,Miller Hall ,Back Entrance,"If you are leaving from Miller Hall, continue down the ramp until the surface changes to asphalt. Take an immediate right and stay on the right side of the road. Miller Hall on your right and the Sehome Arboretum on your left. Align yourself where the grass meets the pavement until it ends at Parking Lot 10G."
Wilson Bus Stop,N/A,Miller Hall,Main Entrance,"If you are leaving Miller Hall, keep left and let the ramp guide you until the surface changes to brick. Fraser Hall on your left and Red Square in front of you. Take an immediate left and align yourself so the pavement is on your left and the surface is brick on your right. Continue straight for 20ft, then take an immediate right. Bond Hall is on your left and Red Square on your right. Align yourself with Bond Hall and continue until the building ends. Turn 90 degrees left for 10 feet and then 90 degrees right. Follow the ledge where the grass meets the brick on the right as the path narrows. The path surface will change from brick to asphalt, but keep following the grass ledge until it ends. Take an immediate right. The bus stop is marked with a tall pole near the edge of the sidewalk.
"
Wilson Bus Stop,N/A,Miller Hall,Red Square Entrance,"If you are leaving Miller Hall, take an immediate left and the surface is brick on your right. Continue straight for 20ft, then take an immediate right. Square off with Bond Hall on your left and Red Square on your right. Align yourself with Bond Hall and continue until the building ends. Turn 90 degrees left for 10ft and then 90 degrees right. Follow the ledge where the grass meets the brick on the right as the path narrows. The path surface will change from brick to asphalt, but keep following the grass ledge until it ends. Take an immediate right. The bus stop is marked with a tall pole near the edge of the sidewalk."
Wilson Bus Stop,N/A,Miller Hall ,Back Entrance,"If you are leaving Miller Hall, take an immediate right and square off so that Miller Hall is on your right and the Art Annex is on your left. Continue straight, aligning yourself with Bond Hall on your left and Red Square on your right. Align yourself with Bond Hall and continue until the building ends. Turn 90 degrees left for 10 feet and then 90 degrees right. Follow the ledge where the grass meets the brick on the right as the path narrows. The path surface will change from brick to asphalt, but keep following the grass ledge until it ends. Take an immediate right. The bus stop is marked with a tall pole near the edge of the sidewalk."
Wilson Bus Stop,N/A,Miller Hall,South Corner Entrance,"If you are leaving Miller Hall, take an immediate right and square off so that Miller Hall is on your right and the Art Annex is on your left. Continue straight, aligning yourself with Bond Hall on your left and Red Square on your right. Align yourself with Bond Hall and continue until the building ends. Turn 90 degrees left for 10 feet and then 90 degrees right. Follow the ledge where the grass meets the brick on the right as the path narrows. The path surface will change from brick to asphalt, but keep following the grass ledge until it ends. Take an immediate right. The bus stop is marked with a tall pole near the edge of the sidewalk."
Fraser Hall ,Front Entrance,Parking Lot 10G,N/A,"If you are approaching from the northern section of lot 10G, continue forwards until the asphalt turns into brick and orient yourself so that Old Main is on your right and Fraser Hall is on your left. Keep left, aligning yourself with the grass edge until the path takes a direct left as the brick path narrows. Humanities Building on your right and Fraser Hall on your left. Continue past the stairs on your left until you reach a ramp. Turn left and then let the ramp guide you as it switches back to the left until you reach the hip level push button for automatic door for automatic door on your right along with the doors."
Parking Lot 10G,N/A,Fraser Hall ,Front Entrance,"If you are leaving from Fraser Hall, take a direct left and align yourself with the metal railing on right of the ramp as it switches back. Now orient yourself with Fraser Hall on your right and the Humanities Building on your left. Continue down the narrow brick path for 20 feet. Old Main is now in front of you as you enter the courtyard. Turn 90 degrees to your right and continue until the brick surface changes to the asphalt of the northern section of lot 10G."
Fraser Hall,Back Entrance,Parking Lot 10G,N/A,"If you are approaching from the northern section of lot 10G, orient yourself so that you are facing Fraser hall and Miller Hall is located on your left. Continue forward until the asphalt of the parking lot changes to brick and you have reached the ramp. Take a right when you reach the cement wall to turn up the gradual ramp. This ramp will switch back up to the left in 10 feet. After another 10 feet the push button for automatic door for automatic door will be hip level on your right along with the doors."
Parking Lot 10G,N/A,Fraser Hall,Back Entrance,"If you are leaving from the back entrance of Fraser Hall, keep right as you switch back down the ramp. Once the ramp ends, take a direct left until the brick surface changes to the asphalt surface of the northern section of lot 10G."
Viking Union Bus Stop,N/A,Fraser Hall ,Front Entrance,"If you are leaving from Fraser Hall, you will approach a set of stairs on the right side and a ramp running parallel to the left of the stairs. Take a left, now Fraser Hall is on your left and the Humanities Building is on your right. Keep to the right and follow the ledge where the grass meets the bricks. This ledge will take an immediate right so continue following it. Once this ledge ends, turn 90 degrees to the right as the path narrows and Wilson Library will be on your left and the Humanities Building on your right. Keep on the left side of the path and align yourself with the grass ledge. Once the surface changes from brick to asphalt, you have reached a crosswalk. The path will slope down and cross High Street. Once crossed, take a right when the surface changes back to brick. After crossing, turn right so that you are parallel with High Street on your right. The Viking Union building will be on your left. The bus stop is marked with a tall pole near the edge of the sidewalk."
Viking Union Bus Stop,N/A,Fraser Hall,Back Entrance,"If you are leaving from Fraser Hall, align yourself with the rail of the ramp until it ends. Take a right and orient yourself so that Fraser Hall is on your right and Miller Hall is on your left. Continue until you reach Red Square, then take a right. Keep to the right and follow the ledge where the grass meets the bricks. This ledge will take an immediate right so continue following it. Once this ledge ends, turn 90 degrees to the right as the path narrows and Wilson Library will be on your left and the Humanities Building on your right. Keep on the left side of the path and align yourself with the grass ledge. Once the surface changes from brick to asphalt, you have reached a crosswalk. The path will slope down and cross High Street. Once crossed, take a right when the surface changes back to brick. After crossing, turn right so that you are parallel with High Street on your right. The Viking Union building will be on your left. The bus stop is marked with a tall pole near the edge of the sidewalk."
Fraser Hall ,Front Entrance,Viking Union Bus Stop,N/A,"Square off with Viking Union and take a sharp right then keep to the left side of the sidewalk. Take a left once the sidewalk slopes down to cross High Street. Once crossed, continue straight when the path forks. Keep to the right side of the plaza as you circle the Old Main Rose Garden and proceed up the slight incline. Once the path flattens out, start towards your right onto the narrow path. Align yourself with the left side of the path, and follow the ramp as it curves up towards the left. The push button for automatic door and doors will be located on your right. "
Fraser Hall,Back Entrance,Viking Union Bus Stop,N/A,"Square off with Viking Union and take a sharp right then keep to the left side of the sidewalk. Take a left once the sidewalk slopes down to cross High Street. Once crossed, continue straight when the path forks. Keep to the right side of the plaza as you circle the Old Main Rose Garden and proceed up the slight incline. Once the path flattens out, start towards your right onto the narrow path. Align yourself with the left side of the path. Take a left once you enter Red Square, orienting yourself so that Fraser Hall is now on your left. Let the building guide you as you head towards your left once more. Follow the slight incline of the ramp as it switches back to the left. The push button for automatic door and doors will be located on your right."
Higginson Hall ,Main Entrance,Parking Lot 7G,N/A,"If you are leaving from lot 7G, take a right down the road staying on the sidewalk which is located on the left side of the road. Follow the ledge of the grass and the sidewalk as it turns directly 90 degrees to the left. Orient yourself so that high street and Nash Hall is on your right and Higginson Hall is on your left. Continue following the grass ledge as you pass the stairs to Higginson. In 4 meters, follow the ramp as it gradually slopes. The push button for automatic door and doors are on your right."
Parking Lot 7G,N/A,Higginson Hall ,Main Entrance,"Square off with Higginson Hall and start towards your left down the ramp. Once the ramp ends, take a sharp right and continue down the sidewalk, aligning yourself with the grass ledge. Once the ledge ends, take right up the sidewalk until you reach parking lot 7G."
Higginson Hall ,Main Entrance,Higginson Hall Bus Stop,N/A,"If you are leaving from the bus stop outside of Higginson Hall, orient yourself so that Nash Hall is on your right and Higginson Hall is on your left. Align yourself where the grass meets the sidewalk on your right. Continue until it ends and take a left up the ramp until you reach the push button for automatic door and doors on your right. "
Higginson Hall Bus Stop,N/A,Higginson Hall ,Main Entrance,"If you are leaving Higginson Hall, follow the gradual path allowing the narrow path to guide you to the larger sidewalk. Take a right until you reach the bus stop located adjacent to the front steps to Higginson Hall, marked by a tall pole. Orient yourself so that Higginson Hall is behind you and High Street and Nash Hall is in front of you."
Higginson Hall Bus Stop,N/A,Higginson Hall,Back Entrance,"If you are leaving Higginson Hall, continue down the ramp until you reach a wider road. Take  right, and keep to the right of the path. Follow the grass ledge on the right side of the brick path until it ends. Then you will take a sharp right down a narrow path. The bus stop is directly in front of Higginson Hall marked by a tall pole. Orient yourself so that High Street is in front of you and Higginson Hall is behind you."
Higginson Hall,Back Entrance,Higginson Hall Bus Stop,N/A,Orient yourself so that Higginson Hall is on your left and High Street is on your right. Align yourself with the grass ledge on your left until the path widens. Start towards your left up the wide brick path while keeping to the left. Edens Hall is located on your right but continues through the small parking lot out front. Take the first left on the left side of the path down the ramp. The push button for automatic door and doors will be located ahead.
Higginson Hall,Back Entrance,Parking Lot 7G,N/A,"If you are leaving from parking lot 7G, continue down the asphalt path while aligning yourself on the left letting the wall guide you. Higginson Hall is on your right and Edens North is on your left. Once the wall ends, take a sharp right and follow the ramp. The push button for automatic door and doors will be located ahead. "
Parking Lot 7G,N/A,Higginson Hall,Back Entrance,"If you are leaving from Higginson Hall, continue down the sloped ramp until the surface changes from brick to asphalt. Take a sharp left and follow the ledge on your right where the grass meets the asphalt. Follow this path until you reach parking lot 7G."
Parking Lot 10G,N/A,Ross Engineering Technology Building,Main Entrance,"If you are leaving from Ross Engineering Technology Building, let the building on your right guide you straight. Follow as the path takes a sharp right turn. Orient yourself so that the Ross Engineering Technology Building is on your right and the Western Gallery is on your left. Once the path widens, take an immediate left. You have reached the lower section of lot 10G once the surface changes from brick to asphalt. "
Ross Engineering Technology Building,Main Entrance,Parking Lot 10G,N/A,"If you are leaving from parking lot 10G, orient yourself so that the Western Gallery is on your right and the Steam Plant is on your left. Keep to the right, aligning yourself where the grass ledge meets the path. Follow as the path takes a sharp right turn and the path narrows. Once the path widens, take a sharp left. Continue straight until you reach the push button for automatic door and doors."
Viking Union Bus Stop,N/A,Ross Engineering Technology Building,Main Entrance,"If you are leaving from Ross Engineering Technology Building, let the building on your right guide you straight. Once the building ends, take a slight left down the ramp, and then another slight right. Orient yourself so that the Carver Building is in front of you and the Fine Arts Building is on your right. Follow the wide path as it goes up a slight ramp into Red Square. Take a left then square off with Bond Hall on your left and Red Square on your right. Align yourself with Bond Hall and continue until the building ends. Turn 90 degrees left for 10 feet and then 90 degrees right. Follow the ledge where the grass meets the brick on the right as the path narrows. After crossing, turn right so that you are parallel with High Street on your right. The Viking Union building will be on your left. The bus stop is marked with a tall pole near the edge of the sidewalk."
Ross Engineering Technology Building,Main Entrance,Viking Union Bus Stop,N/A,"If you are leaving from the Viking Union bus stop, cross High Street at the designated crosswalk then align yourself where the grass meets the brick path. When the ledge ends, orient yourself so that Bond Hall is on your left and the Carver Building is on your right and continue straight. Take a 45 degree right turn and follow the gradual hill, staying to the left. After you pass the Western Gallery, follow the slight ramp on the left that leads to the push button for automatic door and doors."
Arntzen Hall,Side Entrance,Parking Lot 19G,N/A,"If you are leaving from Arntzen Hall, take a left for 10 meters then a sharp left. Orient yourself so that Arntzen Hall is on your left and Haskell Plaza is on your right and continue straight. Keep to the left and follow the wall of the building. Once you reach the doors to the Atrium take a sharp right through Haskell Plaza. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline. Carefully cross the crosswalk, then take a left into parking lot 19G."
Parking Lot 19G,N/A,Arntzen Hall,Side Entrance,"If you are leaving from Arntzen Hall, take a left for 10 meters then a sharp right. Continue straight and orient yourself so that Parks Hall is on your left and Haskell Plaza is on your right. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline. Carefully cross the crosswalk, then take a left into parking lot 19G."
Parking Lot 19G,N/A,Arntzen Hall ,Main Entrance,"If you are leaving from Arntzen Hall, continue straight and orient yourself so that Parks Hall is on your left and Haskell Plaza is on your right. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline. Carefully cross the crosswalk, then take a left into parking lot 19G."
Arntzen Hall ,Main Entrance,Parking Lot 19G,N/A,"If you are leaving from lot 19G, take a left at the fork so that Parks Hall is now on your right and the parking lot is on your left. Align yourself with the ledge where the grass meets the path and follow as it curves up a slight incline. Once the ledge ends, square off with Haskell Plaza on your left and Parks Hall on your right. Continue straight, until you reach the doors that lead to the atrium."
Parking Lot 19G,N/A,Arntzen Hall ,Central Entrance,"If you are leaving from Arntzen Hall, take a left for 10 meters then a sharp right. Continue straight and orient yourself so that Parks Hall is on your left and Haskell Plaza is on your right. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline. Carefully cross the crosswalk, then take a left into parking lot 19G."
Arntzen Hall ,Central Entrance,Parking Lot 19G,N/A,"If you are leaving from lot 19G, take a left at the fork so that Parks Hall is now on your right and the parking lot is on your left. Align yourself with the ledge where the grass meets the path and follow as it curves up a slight incline. Once the ledge ends, square off with Haskell Plaza on your left and Parks Hall on your right. In 45 meters take a left so that Arntzen Hall is on your right. Allow the surface difference between the path and the covered area of Arntzen Hall to guide you for 10 meters. Take a right, the push button for automatic door and doors will be directly straight."
Rec Center Bus Stop ,N/A,Arntzen Hall,Side Entrance,"If you are leaving from Arntzen Hall, take a left for 10 meters then a sharp left. Orient yourself so that Arntzen Hall is on your left and Haskell Plaza is on your right and continue straight. Keep to the left and follow the wall of the building. Once you reach the doors to the Atrium take a sharp right through Haskell Plaza. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline. Carefully cross the crosswalk, and continue straight. Orient yourself so that the track is on your right and lot 19G is on your left. Carefully use the crosswalk over Bill McDonald Parkway, continue straight where the bus stop will be on your left."
Rec Center Bus Stop ,N/A,Arntzen Hall ,Central Entrance,"If you are leaving from Arntzen Hall, take a left for 10 meters then a sharp right. Continue straight and orient yourself so that Parks Hall is on your left and Haskell Plaza is on your right. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline. Carefully cross the crosswalk, and continue straight. Orient yourself so that the track is on your right and lot 19G is on your left. Carefully use the crosswalk over Bill McDonald Parkway, continue straight where the bus stop will be on your left."
Rec Center Bus Stop ,N/A,Arntzen Hall ,Main Entrance,"If you are leaving from Arntzen Hall, continue straight and orient yourself so that Parks Hall is on your left and Haskell Plaza is on your right. Keep to the left and follow the ledge where the grass meets the path as it curves down a slight decline.  Carefully cross the crosswalk, and continue straight. Orient yourself so that the track is on your right and lot 19G is on your left. Carefully use the crosswalk over Bill McDonald Parkway, continue straight where the bus stop will be on your left.
"
Arntzen Hall ,Main Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, carefully cross Bill McDonald Parkway and take a slight left. Align yourself with the ledge where the grass meets the brick path. When the ledge ends, carefully cross the road that leads to lot 19 G and continue to follow the ledge up the slight incline. Once the ledge ends, square off with Haskell Plaza on your left and Parks Hall on your right. Continue straight, until you reach the doors that lead to the atrium."
Arntzen Hall,Side Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, carefully cross Bill McDonald Parkway and take a slight left. Align yourself with the ledge where the grass meets the brick path. When the ledge ends, carefully cross the road that leads to lot 19 G and continue to follow the ledge up the slight incline. Once the ledge ends, square off with Haskell Plaza on your left and Parks Hall on your right. In 45 meters take a left so that Arntzen Hall is on your right. Allow the surface difference between the path and the covered area of Arntzen Hall to guide you until it ends. Take a right, and the push button for automatic door and doors on your right."
Arntzen Hall ,Central Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, carefully cross Bill McDonald Parkway and take a slight left. Align yourself with the ledge where the grass meets the brick path. When the ledge ends, carefully cross the road that leads to lot 19 G and continue to follow the ledge up the slight incline. Once the ledge ends, square off with Haskell Plaza on your left and Parks Hall on your right. In 45 meters take a left so that Arntzen Hall is on your right. Allow the surface difference between the path and the covered area of Arntzen Hall to guide you for 10 meters. Take a right, the push button for automatic door and doors will be directly straight."
Parking Lot 19G,N/A,Academic East,Main Entrance,"If you are leaving from Academic East, start towards your left as the path narrows. The path will widen, but keep towards the right. Orient yourself so that the communication lawn is on your right and you are headed towards parking lot 19G. The path will narrow as you continue along a brick path through tall hedges. The parking lot will be straight ahead."
Academic East,Main Entrance,Parking Lot 19G,N/A,"If you are leaving from parking lot 19G enter through the tall hedges along the narrow path. Continue straight as the path widens and then take a left. The parking lot is now on your left and Academic West is on your right. Start towards your right hand side, around the patch of garden. Orient yourself so that the Communication Lawn is now on your left and Academic West is on your right. Continue straight as the path narrows. Take the second path on your right and then start towards the right. The push button for automatic door and doors will be ahead."
Parking Lot 19G,N/A,Academic East,Main Entrance,"If you are leaving from Academic East, start towards your left as the path narrows. The path will widen, but keep towards the right. Orient yourself so that the communication lawn is on your right and you are headed towards parking lot 19G. The path will narrow as you continue along a brick path through tall hedges. The parking lot will be straight ahead."
Academic East,Main Entrance,Parking Lot 19G,N/A,"If you are leaving from parking lot 19G enter through the tall hedges along the narrow path. Continue straight as the path widens and then take a left. The parking lot is now on your left and Academic West is on your right. Start towards your right hand side, around the patch of garden. Orient yourself so that the Communication Lawn is now on your left and Academic West is on your right. Continue straight as the path narrows. Take the first path on your right and the push button for automatic door and doors will be ahead."
Parking Lot 19G,N/A,Academic East,Main Entrance,"If you are leaving from Academic East, start towards your left as the path narrows. Once the path forks, take a sharp left and continue straight. The path will widen again, but keep towards the right. Orient yourself so that the communication lawn is on your right and you are headed towards parking lot 19G. The path will narrow as you continue along a brick path through tall hedges. The parking lot will be straight ahead."
Academic East,Main Entrance,Parking Lot 19G,N/A,"If you are leaving from parking lot 19G enter through the tall hedges along the narrow path. Continue straight as the path widens and then take a left. The parking lot is now on your left and Academic West is on your right. Start towards your right hand side, around the patch of garden. Orient yourself so that the Communication Lawn is now on your left and Academic West is on your right. Continue straight as the path narrows. Take the second path on your right and then start towards the right. The push button for automatic door and doors will be ahead."
Rec Center Bus Stop ,N/A,Academic East,Main Entrance,"If you are leaving from Academic East, start towards your left. Choose to align yourself with the grass ledge on your left and continue straight. The path will widen again, but keep towards the right. Orient yourself so that the communication lawn is on your right and you are headed towards parking lot 19G. Start towards your left and continue straight. Once the path widens, continue at a 45 degree angle to the right. Once the path narrows you can choose to align yourself with the grass ledge until you reach the crosswalk. The sidewalk will slope down as you cross Bill McDonald Street. Once crossed, stay straight as the bus stop will be marked by a covered area and a tall pole on your left."
Academic East,Main Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, start towards your right. Once the path widens, stay towards your right to align yourself where the grass ledge meets the brick and continue straight. Orient yourself so that parking lot 19G is on your left and Academic West is on your right. Once the space widens, take a sharp right around the patch of garden. Orient yourself so that the Communication Lawn is now on your left and Academic West is on your right. Continue straight as the path narrows. Take the first path to your right and the push button for automatic door and doors will be ahead."
Rec Center Bus Stop ,N/A,Academic East,Main Entrance,"If you are leaving from Academic East, start towards your left as the path narrows. Once the path forks, take a sharp left and continue straight. The path will widen again, but keep towards the right. Orient yourself so that the communication lawn is on your right and you are headed towards parking lot 19G. Start towards your left and continue straight. Once the path widens, continue at a 45 degree angle to the right. Once the path narrows you can choose to align yourself with the grass ledge until you reach the crosswalk. The sidewalk will slope down as you cross Bill McDonald Parkway. Once crossed, stay straight as the bus stop will be marked by a covered area and a tall pole on your left."
Academic East,Main Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, start towards your right. Once the path widens, stay towards your right to align yourself where the grass ledge meets the brick and continue straight. Orient yourself so that parking lot 19G is on your left and Academic West is on your right. Once the space widens, take a sharp right around the patch of garden. Orient yourself so that the Communication Lawn is now on your left and Academic West is on your right. Continue straight as the path narrows. Take the first path to your right and the push button for automatic door and doors will be ahead."
Parking Lot 19G,N/A,Academic West,Main Entrance,"If you are leaving from Academic West, head straight and keep to the right. The path will narrow as you continue through a tall hedge. Parking lot 19G is directly in front of you."
Parking Lot 19G,N/A,Academic West,Back Entrance,"If you are leaving from Academic West, start towards your left on the wide brick path. Keep to your left as the path widens. Orient yourself so that Academic West is on your left and the communication lawn is on your right. Once the path forks, take an immediate left. On your right will be a narrow path that passes through a tall hedge. Parking lot 19G will be directly in front of you."
Parking Lot 19G,N/A,Academic West ,Side Entrance,"If you are leaving from Academic West, head straight and keep to the right. The path will narrow as you continue through a tall hedge. Parking lot 19G is directly in front of you."
Academic West,Main Entrance,Parking Lot 19G,N/A,If you are leaving from parking lot 19G enter through the tall hedges along the narrow path. The path will widen but continue straight. The push button for automatic door and doors will be directly ahead on the right side of the doors.
Academic West,Back Entrance,Parking Lot 19G,N/A,"If you are leaving from parking lot 19G enter through the tall hedges along the narrow path. The path will widen, then take a left. Orient yourself so that the parking lot is now on your left and Academic West is on your right. Start towards your right, around the patch of garden. Once the garden ends, start towards your right as you walk beneath an area covered by a sky bridge. Stay to the right of the path, aligning yourself with the building. The push button for automatic door and doors will be located on your right."
Academic West ,Side Entrance,Parking Lot 19G,N/A,"If you are leaving from parking lot 19G enter through the tall hedges along the narrow path. Once the path widens, stay to the left and align yourself with the grass ledge that is located outside of Academic West. Take a left when the path ends and continue straight. The push button for automatic door and doors will be ahead. "
Rec Center Bus Stop ,N/A,Academic West,Main Entrance,"If you are leaving from Academic West, start towards your left as the path narrows. Once the path forks, take a sharp left and continue straight. Once the path widens, continue at a 45 degree angle to the right. Once the path narrows you can choose to align yourself with the grass ledge until you reach the crosswalk. The sidewalk will slope down as you cross Bill McDonald Parkway. Once crossed, stay straight as the bus stop will be marked by a covered area and a tall pole on your left."
Rec Center Bus Stop ,N/A,Academic West,Back Entrance,"If you are leaving from Academic West , start towards your left and align yourself with the side of the building. Keep towards the left and choose to align yourself with the border of the path of garden located on the northside of Academic West. Orient yourself so that the communication lawn is on your right and you are headed towards parking lot 19G. Start towards your left and continue straight. Once the path widens, continue at a 45 degree angle to the right. Once the path narrows you can choose to align yourself with the grass ledge until you reach the crosswalk. The sidewalk will slope down as you cross Bill McDonald Parkway. Once crossed, stay straight as the bus stop will be marked by a covered area and a tall pole on your left."
Rec Center Bus Stop ,N/A,Academic West ,Side Entrance,"If you are leaving from Academic West, continue straight as the path narrows. Once the path forks, take a sharp left and continue straight. Once the path widens, continue at a 45 degree angle to the right. Once the path narrows you can choose to align yourself with the grass ledge until you reach the crosswalk. The sidewalk will slope down as you cross Bill McDonald Parkway. Once crossed, stay straight as the bus stop will be marked by a covered area and a tall pole on your left."
